Regiao;Estado;Municipio;Revenda;CNPJ;Produto;Data da Coleta;Valor de Venda;Bandeira
SE;SP;JACAREI;POSTO DE SERVICOS SANTA MARIA LTDA; 47.624.697/0001-35;ETANOL;01/01/2025;3,99;VIBRA
SE;SP;SAO VICENTE;AUTO POSTO MAR PEQUENO DE SAO VICENTE LTDA; 09.165.024/0001-75;GASOLINA;01/01/2025;5,99;VIBRA
SE;SP;SAO VICENTE;AUTO POSTO MAR PEQUENO DE SAO VICENTE LTDA; 09.165.024/0001-75;DIESEL S10;01/01/2025;6,19;VIBRA
SE;SP;SAO VICENTE;AUTO POSTO MAR PEQUENO DE SAO VICENTE LTDA; 09.165.024/0001-75;ETANOL;01/01/2025;4,09;VIBRA
SE;SP;JACAREI;LEAO CENTER AUTO POSTO LTDA; 18.019.333/0001-28;GASOLINA;01/01/2025;5,77;BRANCA
SE;SP;JACAREI;LEAO CENTER AUTO POSTO LTDA; 18.019.333/0001-28;ETANOL;01/01/2025;3,87;BRANCA
SE;SP;JACAREI;POSTO DE SERVICOS SHOPPING TREVO LTDA; 03.166.277/0001-87;GASOLINA;01/01/2025;5,79;VIBRA
SE;SP;JACAREI;POSTO DE SERVICOS SHOPPING TREVO LTDA; 03.166.277/0001-87;ETANOL;01/01/2025;3,99;VIBRA
SE;SP;TAUBATE;AUTO POSTO ITAIM DE TAUBATE II LTDA.; 19.343.992/0001-88;DIESEL S10;01/01/2025;6,19;VIBRA
SE;SP;TAUBATE;AUTO POSTO ITAIM DE TAUBATE II LTDA.; 19.343.992/0001-88;ETANOL;01/01/2025;3,79;VIBRA
SE;SP;TAUBATE;AUTO POSTO ITAIM DE TAUBATE II LTDA.; 19.343.992/0001-88;GASOLINA;01/01/2025;5,59;VIBRA
SE;SP;TAUBATE;AUTO POSTO PEROLA TAUBATE LTDA; 21.082.653/0001-37;GASOLINA;01/01/2025;5,79;BRANCA
SE;SP;TAUBATE;AUTO POSTO PEROLA TAUBATE LTDA; 21.082.653/0001-37;DIESEL S10;01/01/2025;6,09;BRANCA
SE;SP;TAUBATE;AUTO POSTO PEROLA TAUBATE LTDA; 21.082.653/0001-37;ETANOL;01/01/2025;3,89;BRANCA
SE;SP;JACAREI;BABY AUTO POSTO LTDA; 24.474.162/0001-20;DIESEL S10;01/01/2025;5,99;VIBRA
SE;SP;JACAREI;BABY AUTO POSTO LTDA; 24.474.162/0001-20;ETANOL;01/01/2025;3,89;VIBRA
SE;SP;JACAREI;BABY AUTO POSTO LTDA; 24.474.162/0001-20;GASOLINA;01/01/2025;5,79;VIBRA
SE;SP;JACAREI;POSTO DE SERVICOS SAO JORGE SALVADOR LTDA.; 22.526.323/0001-56;GASOLINA;01/01/2025;5,69;BRANCA
SE;SP;JACAREI;POSTO DE SERVICOS SAO JORGE SALVADOR LTDA.; 22.526.323/0001-56;DIESEL S10;01/01/2025;5,79;BRANCA
SE;SP;JACAREI;POSTO DE SERVICOS SAO JORGE SALVADOR LTDA.; 22.526.323/0001-56;ETANOL;01/01/2025;3,87;BRANCA
SE;SP;TAUBATE;AUTO POSTO AVENIDA ITALIA LTDA; 28.348.028/0001-33;GASOLINA;01/01/2025;6,09;IPIRANGA
SE;SP;TAUBATE;AUTO POSTO AVENIDA ITALIA LTDA; 28.348.028/0001-33;ETANOL;01/01/2025;4,19;IPIRANGA
SE;SP;SAO JOSE DOS CAMPOS;CENTRO DE SERVICOS FRANGO ASSADO -NORTE LTDA; 02.896.671/0013-41;GASOLINA;01/01/2025;6,99;VIBRA
SE;SP;SAO JOSE DOS CAMPOS;CENTRO DE SERVICOS FRANGO ASSADO -NORTE LTDA; 02.896.671/0013-41;ETANOL;01/01/2025;4,99;VIBRA
SE;SP;JACAREI;AUTO POSTO BRANCO DE CASTELO LTDA; 68.912.864/0003-85;GASOLINA;01/01/2025;5,57;VIBRA
SE;SP;JACAREI;AUTO POSTO BRANCO DE CASTELO LTDA; 68.912.864/0003-85;ETANOL;01/01/2025;3,77;VIBRA
SE;SP;CARAGUATATUBA;AUTO POSTO MAR VIRADO LTDA; 06.697.685/0001-53;GASOLINA;02/01/2025;6,09;VIBRA
SE;SP;CARAGUATATUBA;AUTO POSTO MAR VIRADO LTDA; 06.697.685/0001-53;ETANOL;02/01/2025;4,09;VIBRA
SE;SP;CARAGUATATUBA;AUTO POSTO PRAIA CENTER LTDA; 03.255.192/0001-75;GASOLINA;02/01/2025;6,19;VIBRA
SE;SP;CARAGUATATUBA;AUTO POSTO PRAIA CENTER LTDA; 03.255.192/0001-75;ETANOL;02/01/2025;4,19;VIBRA
SE;SP;CRUZEIRO;POSTO CRUZEIRO CENTRAL LTDA.; 05.776.305/0001-03;GASOLINA;02/01/2025;5,89;VIBRA
SE;SP;CRUZEIRO;POSTO CRUZEIRO CENTRAL LTDA.; 05.776.305/0001-03;ETANOL;02/01/2025;4,09;VIBRA
SE;SP;CRUZEIRO;AUTO POSTO VILA RICA - SAO CRISTOVAO LTDA; 03.219.617/0001-90;DIESEL S10;02/01/2025;6,48;BRANCA
SE;SP;CRUZEIRO;AUTO POSTO VILA RICA - SAO CRISTOVAO LTDA; 03.219.617/0001-90;ETANOL;02/01/2025;4,19;BRANCA
SE;SP;CRUZEIRO;AUTO POSTO VILA RICA - SAO CRISTOVAO LTDA; 03.219.617/0001-90;GASOLINA;02/01/2025;6,09;BRANCA
SE;SP;CRUZEIRO;F.J.M BORGES E CIA LTDA; 46.668.505/0001-20;GASOLINA;02/01/2025;5,89;VIBRA
SE;SP;CRUZEIRO;REDE DE POSTOS SETE ESTRELAS LTDA; 45.694.437/0005-34;GASOLINA;02/01/2025;5,89;BRANCA
SE;SP;CRUZEIRO;REDE DE POSTOS SETE ESTRELAS LTDA; 45.694.437/0005-34;DIESEL S10;02/01/2025;5,99;BRANCA
